album,title,singer,lyrics,start_time,end_time
Blood Mountain,capillarian crest,Troy Sanders, Capillarian gone away Capillarian gone away ,0:18,0:24
Blood Mountain,capillarian crest,Brent Hinds, It's a shattered wave Cosmogenic cycles Universal dreams The unseen essence ,0:24,0:36
Blood Mountain,capillarian crest,Brent Hinds, Energies refreshed 12 years of silence Frivolous to moments Shake the hand of lightning ,0:48,0:59
Blood Mountain,capillarian crest,Brent Hinds, Capillarian carnate Capillarian carnate ,0:59,1:06
Blood Mountain,capillarian crest,Brent Hinds, You don't have to go Escaping from the long way And leave us here all alone Carve Carve out your soul Lay it on the altar And leave us here all alone ,2:32,2:56
Blood Mountain,capillarian crest,Troy Sanders, You don't have to go Escaping from the long way And leave us here all alone Carve Carve out your soul Lay it on the altar And leave us here all alone ,2:32,2:56
Blood Mountain,capillarian crest,Brent Hinds, This river is running violence A way to catch our breath Rising from the mercury We will climb to bestow our trust Take away the anchor Amplify the mystery Inhale the earth and wind Map out the plans to our test ,3:37,4:14
Blood Mountain,circle of cysquatch,Troy Sanders, Elephant spirits Tower of ivory Story of ancient deities ,0:18,0:28
Blood Mountain,circle of cysquatch,Brent Hinds, Seizure of the fleece Protector of its place ,0:28,0:38
Blood Mountain,circle of cysquatch,Troy Sanders, Fly through dreamscapes Of valleys gullies and spires Herd across suicidal slopes ,0:38,0:46
Blood Mountain,circle of cysquatch,Brent Hinds, Changeless moonshines Circle cyclops image ,0:47,0:58
Blood Mountain,circle of cysquatch,Troy Sanders, A race of one-eyed beings All feared and shunned Rakshasa demon ,1:07,1:17
Blood Mountain,circle of cysquatch,Brent Hinds, Seizure of the fleece Protector of its place ,1:17,1:29
Blood Mountain,circle of cysquatch,Guest, Eyes all around you Enter the labyrinth Visions of the hunted Beware the birchmen ,1:39,2:07
Blood Mountain,circle of cysquatch,Troy Sanders, Incisors thought to be Skulls of us Our release ,2:17,2:32
Blood Mountain,colony of birchmen,Brent Hinds, This forest is growing faster than I can tell Cell structure eats away at a massive swell Seems however I'm a victim of circumstance ,0:01,0:29
Blood Mountain,colony of birchmen,Troy Sanders, Hunt for ogres and dwarfs Lion slicer ,0:18,0:38
Blood Mountain,colony of birchmen,Brent Hinds, Run with death Run with death White faces coming closer with every step Earth envelopes taking breath without happenstance Carve my teeth out ripping through the sheep's head curse ,0:39,1:12
Blood Mountain,colony of birchmen,Brent Hinds, Hunter gatherer Ridden from the cave ,1:16,1:19
Blood Mountain,colony of birchmen,Brent Hinds, Run with death Run with death ,1:20,1:31
Blood Mountain,colony of birchmen,Brent Hinds, Gone away My heart's gone away Taking everything My heart's gone away Take it now ,1:56,2:13
Blood Mountain,colony of birchmen,Brent Hinds, Run with death Run with death ,2:20,2:32
Blood Mountain,colony of birchmen,Brent Hinds, Gone away My heart's gone away Taking everything My heart's gone away Take it now ,2:56,3:13
Blood Mountain,crystal skull,Troy Sanders, Guide a truth Prevail and ride ,0:12,0:24
Blood Mountain,crystal skull,Troy Sanders, Into the black hole Searching the crystal Making the veins bleed ,0:33,0:43
Blood Mountain,crystal skull,Troy Sanders, The source of consciousness Alive Crystalline resonance ,0:43,0:53
Blood Mountain,crystal skull,Brent Hinds, The source of consciousness Alive Crystalline resonance ,0:43,0:53
Blood Mountain,crystal skull,Troy Sanders, Into the black hole Searching the crystal Making the veins bleed ,0:58,1:06
Blood Mountain,crystal skull,Troy Sanders, A deep breath before the plunge ,1:21,1:26
Blood Mountain,crystal skull,Troy Sanders, One million voices Dispelling A thousand faces Disarming ,1:34,1:44
Blood Mountain,crystal skull,Guest, Running through the darkness Holding hearts in my eyes Falling short of gauntlet Covered in blood-sucking flies ,1:47,2:00
Blood Mountain,crystal skull,Troy Sanders, Running through the darkness Holding hearts in my eyes Falling short of gauntlet Covered in blood-sucking flies ,1:47,2:00
Blood Mountain,crystal skull,Scott Kelly, The touch is cold I tore a path screaming through wind and blood I will it all Burning deep in my skull ,2:02,2:37
Blood Mountain,hand of stone,Troy Sanders, No one sees the difference in the land Where the sky meets earth Form horizons ,0:10,0:22
Blood Mountain,hand of stone,Brent Hinds, Hand of stone Arm of strength Nature's fire Fist of gold ,0:31,0:40
Blood Mountain,hand of stone,Troy Sanders, Venom stains the lips and burns the tongue With vengeance and hatred Extremities forged in nature's fire Unrelenting vigor Carve the future ,0:40,1:00
Blood Mountain,hand of stone,Brent Hinds, Feast or famine Drink deception The wells run dry The need for temptation ,1:29,1:46
Blood Mountain,hand of stone,Brent Hinds, Falling through brain field Head for divide ,1:56,2:06
Blood Mountain,hand of stone,Troy Sanders, The hand matches The hand that leads the way To kill the shepherd Just to see his face Heed the warning Ingest the rotten bone The hand that falters The hand that turns to stone ,2:14,2:33
Blood Mountain,hand of stone,Troy Sanders, Chew on the root that gives us sight Cranium shatters Feed the needles as they fall The truth The mask Brain divided ,2:51,3:11
Blood Mountain,hunters of the sky,Troy Sanders, Running faster than I ever have Evading sharks of the sky Death trap and I kill again Dig through my own hives ,0:36,0:46
Blood Mountain,hunters of the sky,Brent Hinds, Shelter from sky Talon of raptor ,0:48,0:58
Blood Mountain,hunters of the sky,Troy Sanders, Force-fed glass giant moth Reaping fields of the flesh Heavy hand thwart the scheme Of the dominant nymph ,0:58,1:07
Blood Mountain,hunters of the sky,Brent Hinds, Omen she brings Carried on weathered wings ,1:08,1:18
Blood Mountain,hunters of the sky,Troy Sanders, Fly reptile Leather wings Bones hollow Petrified ,1:20,1:38
Blood Mountain,hunters of the sky,Troy Sanders, Fly reptile Leather wings Bones hollow Petrified ,2:30,2:47
Blood Mountain,hunters of the sky,Troy Sanders, Running faster than I ever have Evading sharks of the sky ,2:55,2:59
Blood Mountain,hunters of the sky,Troy Sanders, The earth's ashing floats What is good for man Cast us out into the known ,3:00,3:16
Blood Mountain,pendulous skin,Brent Hinds, Yeah Float away Known so low You run away Desolate us Desolate all No love is lost You know we're weightless Climb Under my wing Climb Known so low You run away Desolate us Desolate all No love is lost You know we're weightless Climb Under my wing Climb Known so low You run away Desolate us Desolate all ,0:59,3:06
Blood Mountain,pendulous skin,Brent Hinds, Grown so slow You run away Desolate us I'm sailing away ,4:34,4:56
Blood Mountain,siberian divide,Troy Sanders, Ice god shakes the earth Destruction of the path Sinking deeper in the snow Eating bark with blackened hands Swollen fingers frozen jaw Warm teeth wrapped around my wrist ,0:11,0:29
Blood Mountain,siberian divide,Brent Hinds, Frostbite eating away at our limbs Slit the belly brontotherium Climb towards vermilion snowbank fall Station of the crosses prayer save all ,0:31,0:47
Blood Mountain,siberian divide,Troy Sanders, Chewing bone Euphoria Land and sky Shining skull ,0:55,1:11
Blood Mountain,siberian divide,Brent Hinds, Ice field blanket land Hunted beyond the fray No direction known Running with the band Provisions wearing thin Avalanche sweeps the land ,1:11,1:28
Blood Mountain,siberian divide,Troy Sanders, Starvation setting in Spilling all that's left Should've kept the fruits from virgin's vine Three-horned face Pillar of red Evil lives atop my crooked spine ,2:08,2:28
Blood Mountain,siberian divide,Brent Hinds, Rosebush current flow Carmine river go Solar storms erupt on the sun Ice fields blanket land ,2:28,2:44
Blood Mountain,siberian divide,Troy Sanders, Snow queen Hypothermia Ice lips Hallucination ,2:51,3:11
Blood Mountain,siberian divide,Guest, Ice field blanket land Hunted beyond the fray No direction known Running with the band Provisions wearing thin Avalanche sweeps the land ,3:11,3:26
Blood Mountain,siberian divide,Brent Hinds, Landscape ebb 'n' flow Think I felt the end of time Skulls aglow as crystal shines And starts to warm the empty climb ,4:27,4:41
Blood Mountain,sleeping giant,Brent Hinds, Earth has burst Mountain flames Moon beheld Father snake Mind control Has left its nest ,1:37,1:58
Blood Mountain,sleeping giant,Troy Sanders, Shame on ,1:58,2:02
